issue,date,f1,f2,f3,f4,f5,b1,b2
22027,,3,6,11,31,32,5,12
22028,,4,9,16,17,35,1,7
22029,,7,8,10,14,17,10,12
22030,,12,14,15,21,30,1,9
22031,,7,14,16,20,28,4,8
22032,,5,9,18,31,32,1,5
22033,,8,15,16,19,33,3,4
22034,,2,10,24,27,28,6,7
22035,,9,11,13,23,31,5,8
22036,,18,19,21,26,34,6,7
22037,,1,9,17,20,28,6,10
22038,,7,9,11,12,26,9,12
22039,,1,8,11,22,31,5,11
22040,,10,19,25,29,33,8,12
22041,,5,15,25,26,33,6,11
22042,,8,10,11,29,32,2,6
22043,,2,16,17,24,30,9,12
22044,,1,2,16,17,20,3,7
22045,,2,3,7,12,20,1,5
22046,,6,7,12,22,27,3,5
22047,,7,10,11,12,33,3,11
22048,,16,22,28,29,32,8,9
22049,,6,10,20,28,35,1,10
22050,,2,10,21,24,30,8,10
22051,,1,16,17,19,33,5,6
22052,,1,13,18,29,35,4,9
22053,,9,17,19,20,25,1,9
22054,,5,16,21,23,34,7,10
22055,,1,2,12,15,23,4,6
22056,,2,11,15,17,31,7,9
22057,,6,12,18,21,35,7,10
22058,,3,4,24,26,35,7,8
22059,,4,15,18,32,34,4,9
22060,,2,6,10,11,20,3,9
22061,,6,9,19,22,30,1,6
22062,,5,9,11,12,31,7,11
22063,,2,3,22,26,31,6,10
22064,,2,19,22,25,35,5,7
22065,,5,10,13,22,28,1,4
22066,,2,24,25,26,34,3,12
22067,,4,14,15,32,33,10,11
22068,,3,6,10,15,23,3,8
22069,,2,3,23,28,35,2,9
22070,,1,7,17,23,35,7,11
22071,,9,15,19,25,29,8,9
22072,,1,12,13,15,30,3,7
22073,,11,18,21,25,32,2,4
22074,,2,6,21,25,28,2,6
22075,,4,12,13,17,18,7,9
22076,,5,17,30,34,35,2,9
22077,,5,10,11,16,19,1,10
22078,,2,3,18,20,27,1,2
22079,,7,10,19,26,32,8,12
22080,,10,17,30,31,34,3,6
22081,,5,10,19,31,32,9,10
22082,,4,26,27,30,33,2,9
22083,,2,9,17,26,32,4,6
22084,,3,11,19,25,27,4,12
22085,,11,16,31,33,35,6,8
22086,,4,10,21,28,31,8,11
22087,,4,6,10,24,28,6,12
22088,,1,8,10,20,35,6,11
22089,,1,20,21,31,33,3,11
22090,,1,20,24,25,31,9,12
22091,,2,11,20,22,34,4,12
22092,,1,4,12,23,29,5,12
22093,,7,11,14,21,29,7,10
22094,,3,4,7,12,19,2,5
22095,,5,8,22,25,35,2,7
