issue,date,f1,f2,f3,f4,f5,b1,b2
26013,,3,5,6,23,26,1,4
26014,,16,18,23,34,35,1,6
26015,,1,4,10,13,17,3,11
26016,,8,9,12,19,24,1,6
26017,,4,5,10,23,31,7,12
26018,,9,11,19,30,35,1,12
26019,,12,13,14,16,31,4,12
26020,,1,10,21,23,29,10,12
26021,,5,8,12,14,17,4,5
26022,,5,9,10,18,26,5,6
26023,,9,25,26,27,28,1,8
26024,,2,4,8,10,21,9,12
26025,,3,15,24,28,29,3,7
26026,,10,11,22,26,32,1,8
26027,,9,10,11,12,16,1,11
26028,,15,27,29,30,34,1,10
26029,,3,5,17,33,35,5,7
26030,,2,13,22,28,34,5,12
26031,,6,8,22,29,34,5,7
26032,,3,4,19,26,32,1,12
26033,,3,5,7,9,18,2,10
26034,,11,12,25,26,27,8,11
26035,,2,22,30,33,34,8,12
26036,,4,7,16,26,32,5,8
26037,,7,12,13,28,32,6,8
26038,,8,17,21,33,35,6,7
26039,,9,11,20,26,27,6,9
26040,,6,12,13,21,34,8,9
26041,,24,25,27,29,34,2,6
26042,,2,7,13,19,24,3,8
26043,,8,12,14,19,22,11,12
26044,,3,8,22,26,29,7,10
26045,,1,15,21,26,33,4,7
26046,,1,13,18,27,33,4,7
26047,,9,20,21,23,28,6,11
26048,,11,17,20,23,35,1,10
26049,,1,6,14,15,17,2,3
26050,,6,10,14,23,33,8,10
26051,,13,18,28,32,33,2,11
26052,,2,3,20,28,33,2,12
26053,,2,9,14,20,31,5,9
26054,,2,6,14,22,24,8,11
26055,,9,10,20,33,35,4,11
26056,,6,7,18,21,30,1,5
26057,,23,25,26,27,34,4,10
26058,,7,12,13,18,34,1,5
26059,,6,13,17,19,26,7,8
26060,,22,28,30,31,34,1,5
26061,,10,12,26,31,35,2,12
26062,,7,15,20,24,29,4,10
26063,,3,15,20,29,31,1,12
26064,,3,13,15,17,21,2,7
26065,,4,11,12,13,25,4,8
26066,,10,13,19,21,30,4,5
26067,,6,16,18,19,28,7,11
26068,,3,11,12,21,22,6,10
26069,,12,19,21,24,29,3,10
26070,,4,5,15,21,32,2,11
26071,,5,13,22,26,32,2,3
26072,,1,13,26,29,30,9,11
26073,,4,10,22,23,33,2,12
26074,,1,4,10,23,25,1,12
26075,,1,6,16,18,26,4,10
26076,,15,20,27,28,35,2,11
26077,,4,14,19,24,27,6,7
26078,,2,13,20,25,32,8,11
26079,,6,8,23,26,27,5,12
26080,,5,10,15,21,23,7,8
26081,,8,16,18,24,34,9,12
